"采集时间","作品ID","作品类型","作品标题","作品描述","作品标签","发布时间","最后更新时间","收藏数量","评论数量","分享数量","点赞数量","作者昵称","作者ID","作者链接","作品链接","下载地址","动图地址"
"2024-12-03 23:14:24",674d7eb0000000000703a414,"图文","厦门首家山缓缓翘脚牛肉火锅入驻厦门万象城","全新一家山缓缓翘脚牛肉火锅正式入驻厦门万象城，目前已经在厦门万象城西区广场围挡亮相，即将于明年元旦正式开出！
	
这也是厦门首家的山缓缓翘脚牛肉火锅门店，福建首家门店则入驻了福州东白中心。
	
山缓缓翘脚牛肉火锅成立于2022年，一家以「翘脚牛肉」为招牌的川系火锅品牌。
	
山缓缓定位年轻客群，试图将火锅与自然山野相结合，在其门店可以看到是以「山系」为品牌门店主要的呈现风格，这也能为品牌客群提供社交属性以打出用餐体验的差异化。
	
目前，厦门餐饮中已经开出了不少以「翘脚牛肉」为招牌的火锅品牌，那么山缓缓的入驻是否依然受到大家的欢迎，让我们一起拭目以待！
	
如果你也期待的话，请举个手表示一下吧～
	
最后，大家还期待哪些餐饮品牌入驻厦门欢迎在评论区留言分享！
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#厦门商场[话题]# #厦门商圈[话题]# #厦门新商圈[话题]#
#华润[话题]# #万象城[话题]# #厦门万象城[话题]#
#火锅[话题]# #牛肉火锅[话题]# #翘脚牛肉[话题]# #翘脚牛肉火锅[话题]#
#山缓缓火锅[话题]# #山缓缓[话题]# #山缓缓跷脚牛肉火锅[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 厦门商场 厦门商圈 厦门新商圈 华润 万象城 厦门万象城 火锅 牛肉火锅 翘脚牛肉 翘脚牛肉火锅 山缓缓火锅 山缓缓 山缓缓跷脚牛肉火锅",2024-12-02_17:32:33,2024-12-02_19:14:17,8,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/674d7eb0000000000703a414,"https://ci.xiaohongshu.com/1040g2sg31atbul2gmq705obucjg0jkuuegfanpo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31atbul2gmq7g5obucjg0jkuusb2it0g?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31atbul2gmq805obucjg0jkuunognaeo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31atbul2gmq8g5obucjg0jkuucp974po?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31atbul2gmq905obucjg0jkuu3796t30?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31atbul2gmq9g5obucjg0jkuugpefuog?imageView2/format/png","NaN NaN NaN NaN NaN NaN"
"2024-12-03 23:25:23",66e1f585000000001e01914d,"图文","我们与Vogue Business聊了聊奥特莱斯业态！","上周，Vogue Business 杂志邀请我们，就近两年国内奥特莱斯的逆势崛起这一商业趋势聊一聊我们的想法。
	
9月9日，Vogue Business 正式发布了这一采访内容，将我们的一些看法浓缩发布在一篇名为《奥莱—品质生活和性价比之间的最佳选择？》的文章中，大家可以前往官方进行阅读。
	
如今，我们将全部的采访内容，以「Q&A」的形式整理并呈现出来，详情如上。
	
希望能够给大家带来有价值的收获与参考，谢谢！
	
@VOGUE服饰与美容 @Vogue Business
	
#航海家Navigator[话题]#
	
#商业[话题]# #商业地产[话题]# #奥莱[话题]# #奥特莱斯[话题]# #Vogue[话题]#
#vogue[话题]# #Voguebusiness[话题]#","航海家Navigator 商业 商业地产 奥莱 奥特莱斯 Vogue vogue Voguebusiness",2024-09-12_03:54:45,2024-10-24_00:05:11,10+,5,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/66e1f585000000001e01914d,"https://ci.xiaohongshu.com/1040g008317k9ihat3k0g5obucjg0jkuu0tgt3e8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg317kbjuht0m705obucjg0jkuu8ho03og?imageView2/format/png https://ci.xiaohongshu.com/1040g008317k9ihat3k1g5obucjg0jkuulobai80?imageView2/format/png https://ci.xiaohongshu.com/1040g008317k9ihat3k205obucjg0jkuupgda1co?imageView2/format/png https://ci.xiaohongshu.com/1040g008317k9ihat3k2g5obucjg0jkuunfkdkd0?imageView2/format/png https://ci.xiaohongshu.com/1040g008317k9ihat3k305obucjg0jkuuqf2i0hg?imageView2/format/png https://ci.xiaohongshu.com/1040g008317k9ihat3k3g5obucjg0jkuufhqar38?imageView2/format/png https://ci.xiaohongshu.com/1040g008317kcb262jk005obucjg0jkuuu8nofeo?imageView2/format/png https://ci.xiaohongshu.com/1040g008317kcb262jk0g5obucjg0jkuueq1n680?imageView2/format/png https://ci.xiaohongshu.com/1040g008317k9ihat3k505obucjg0jkuuajbcd00?imageView2/format/png https://ci.xiaohongshu.com/1040g008317k9ihat3k5g5obucjg0jkuuk26sfho?imageView2/format/png https://ci.xiaohongshu.com/1040g008317k9ihat3k605obucjg0jkuu7teo1f0?imageView2/format/png https://ci.xiaohongshu.com/1040g008317k9ihat3k6g5obucjg0jkuuerviug8?imageView2/format/png https://ci.xiaohongshu.com/1040g008317kbeqqg0s005obucjg0jkuuqk7h6lo?imageView2/format/png https://ci.xiaohongshu.com/1040g008317kbeqqg0s0g5obucjg0jkuuhtrj5v8?imageView2/format/png https://ci.xiaohongshu.com/1040g008317kbeqqg0s105obucjg0jkuuekgnlio?imageView2/format/png https://ci.xiaohongshu.com/1040g008317kbeqqg0s1g5obucjg0jkuu69eg368?imageView2/format/png https://ci.xiaohongshu.com/1040g008317kbeqqg0s205obucjg0jkuumv3ecso?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN"
"2024-12-03 23:25:24",674e81fb000000000703092d,"图文","米其林正式公布福建首版指南，充满各种争议！","今天，米其林正式公布了福建省首版的米其林指南榜单，了包括厦门、泉州、福州这三座闽地城市的69家餐厅。
	
此次的《米其林指南》榜单，只有有5家餐厅摘星，其中厦门3家，分别是蓼花卿语（Fleurs Et Festin）、鲜承（Hokklo）、宴遇（Yanyu）；福州的江南灶·融府（Jiangnan Wok·Rong）以及文儒九号（Wenru No.9）。
	
米其林指南入选餐厅，共17家，福州8家、厦门5家、泉州4家；必比登推介餐厅，共47家，福州11家、厦门26家、泉州10家。
	
此次的米其林指南一发布，餐饮圈的伙伴们纷纷议论起来，并且我们收到的来自大家的反馈，可以说充满了各种争议！
	
那么，你是怎么看此次米其林指南的，你认同此次的米其林指南吗？
	
欢迎大家在评论区分享你的看法或吐槽，让我们一起交流讨论一下吧～
	
@米其林指南MICHELIN GUIDE
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门餐厅[话题]# #厦门美食[话题]#
#米其林[话题]# #米其林餐厅[话题]# #米其林指南[话题]#
#米其林指南推荐[话题]#","航海家Navigator 厦门 厦门商业 厦门餐厅 厦门美食 米其林 米其林餐厅 米其林指南 米其林指南推荐",2024-12-03_11:58:51,2024-12-03_12:13:57,10+,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/674e81fb000000000703092d,"https://ci.xiaohongshu.com/1040g2sg31aubjhuomu705obucjg0jkuukbl55eg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31aubjhuomu7g5obucjg0jkuuqvpqieo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31aubjhuomu805obucjg0jkuubtd1sg8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31aubjhuomu8g5obucjg0jkuu0tkur48?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31aubjhuomu905obucjg0jkuumrqa7u0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31aubjhuomu9g5obucjg0jkuudv2g818?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31aubjhuomua05obucjg0jkuu4jmkfj8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31aubjhuomuag5obucjg0jkuueib00l0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31aubjhuomub05obucjg0jkuuqmp3b8g?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31aubjhuomubg5obucjg0jkuu232uh00?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN"
"2024-12-03 23:25:24",674c7c42000000000703911d,"图文","航海家｜大家期待ARKET入驻厦门吗？","ARKET 诞生于2007年，品牌名为一张白纸，是一家来自瑞典的北欧生活方式时装品牌。
	
近年，ARKETA 因高品质的材质用料与制作工艺，以及秉持着北欧「Less is more」的极简设计与性冷淡美学，受到了不少都市精致群体的青睐。
	
目前，ARKET 在国内拥有北京三里屯、广州天环广场、上海新天地以及杭州万象城4家门店。
	
ARKET 还打造了 ARKET CAFÉ，一个专门面向品牌客群的季节性的咖啡馆，还供应着北欧式的日常饮食。
	
ARKET 通过服饰、咖啡与餐食，将北欧式的生活方式带进日常，传递着理想生活方式的新一种可能。
	
那么，如果未来 ARKET 将入驻厦门，大家期待吗？
	
欢迎期待的伙伴们，举个手表示一下！
	
如果品牌入驻厦门，会入驻哪个商场，我们认为将会是厦门万象城，你们你觉得呢？
	
欢迎在评论区分享你的观点，让我们交流讨论下吧～
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#厦门商场[话题]# #厦门商圈[话题]# #厦门新商圈[话题]#
#华润[话题]# #万象城[话题]# #厦门万象城[话题]#
#hm[话题]# #arket[话题]# #arket穿搭[话题]# #arketcafe[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 厦门商场 厦门商圈 厦门新商圈 华润 万象城 厦门万象城 hm arket arket穿搭 arketcafe",2024-12-01_23:09:54,2024-12-01_23:09:54,3,10+,5,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/674c7c42000000000703911d,"https://ci.xiaohongshu.com/1040g00831ascd4q96q005obucjg0jkuua9reib8?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q0g5obucjg0jkuuiueomo8?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q105obucjg0jkuueaodego?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q1g5obucjg0jkuuj88dd98?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q205obucjg0jkuub6n0apg?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q2g5obucjg0jkuurgbte30?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q305obucjg0jkuu3711rfg?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q3g5obucjg0jkuue8b4q4o?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q405obucjg0jkuu1g067e0?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q4g5obucjg0jkuuht0kuco?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q505obucjg0jkuueeuph38?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q5g5obucjg0jkuubluq328?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q605obucjg0jkuu0oqlauo?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ascd4q96q6g5obucjg0jkuuip0ssko?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31ascd4r16u705obucjg0jkuu8ljfeqg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31ascd4r16u7g5obucjg0jkuurlk33l8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31ascd4r16u805obucjg0jkuu7h6kjh8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg31ascd4r16u8g5obucjg0jkuub0l0acg?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN"
"2024-12-03 23:25:24",674c223800000000070307ec,"图文","航海家｜我们将毫无保留的支持优衣库！","这几天，优衣库出事了！
	
此次事件是近期优衣库的老板柳井正接受采访表示，自家产品的生产未使用新疆棉所引发的一场公关危机。
	
首先表个态，我们的态度是支持优衣库！
	
总结一下，此次事件的始作俑者是国内一小部分无良媒体们的断章取义与混淆视听进而引发舆论发酵的公共事件。
	
这些媒体们所发布的内容都是几秒钟，但在完整的采访中，柳井正所讲到的事情的前因后果与原委都未被剪进视频，他在采访中还提及到：
	
「优衣库不会放弃在华的投资与生产，并且接下来在大陆的市场计划是开设更多门店。」
	
截止目前，优衣库在大陆地区开业在营的直营门店有1031家，并且合作的上下游供应链超过了269家，还聘用了20多万名中国员工。
	
所以，可想而知优衣库每年在华带动了多少消费、为政府纳了多少税、提供了多少工作岗位、养活了背后的多少家庭，其创造的商业价值与对我国的经济贡献不可忽视。
	
其次，优衣库所使用的是较为平价的山东棉，因为新疆棉的价格较为高昂，这是企业再正常不过的基于生产成本考量的商业决策。
	
新疆棉确实很优质，我们能做的是提倡企业多选择，但优衣库使用产自山东的棉花，这同样也是支持中国市场的做法，没毛病！
	
我们认为，将原本企业市场化的商业行为上升到意识形态的高度，本身就是非常可笑的，并且也是种商业上的道德绑架与强人所难，这并不会助力我国商业的包容度与繁荣发展，进而吸引更多的外资来华，只会在如今经济下行的局面，给国家帮倒忙。
	
此次事件的背后，或许也有一些资本力量的引导。
	
优衣库并非传统意义上的快时尚品牌，其高品质的产品与合理的定价吸引了跨越阶层的客群，其服适人生的品牌理念与生活哲学，升华了品牌的内涵。
	
在如今的经济周期，头部的中产因消费降级纷纷选择了优衣库，使得不少资本纷纷急红了眼。
	
最后，我们相信能被舆论所盲目性引导的大部分都是下沉市场群体，但真正理性并且拥有独立思考能力的人，总能看懂这背后的逻辑与本质！
	
关注「航海家Navigator」的伙伴们，相信大家都是后者。
	
此次的优衣库公共事件，我们的态度是挺品牌，并且毫无保留的支持优衣库，但优衣库在之后还是要更加充分的考虑到不同市场背后的特殊性，避免引发争议。
	
那么，你是如何看待这次的优衣库舆论事件，欢迎你举个手，让我们一起交流讨论一下吧～
	
@优衣库UNIQLO
	
#航海家Navigator[话题]#
	
#商业[话题]# #零售[话题]# #品牌[话题]#
#优衣库[话题]# #uniqlo[话题]# #UNIQLO[话题]#
#优衣库抵制新疆棉[话题]#","航海家Navigator 商业 零售 品牌 优衣库 uniqlo UNIQLO 优衣库抵制新疆棉",2024-12-01_16:45:44,2024-12-02_10:48:08,10+,10+,10+,"1千+","航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/674c223800000000070307ec,https://ci.xiaohongshu.com/1040g2sg31as1dfv26u005obucjg0jkuuetqsh40?imageView2/format/png,NaN
"2024-12-03 23:35:37",674acf7c0000000008004619,"图文","航海家｜厦门到底是几线城市呢？","近几年，我经常听到一句关于厦门这座城市的「吐槽」，那就是厦门拥有一线城市的房价、二线城市的消费水平，以及三线城市的工资。
	
那么，厦门到底是几线城市？
	
根据行业内相对权威的第一财经旗下的新一线城市研究所发布的《2024新一线城市魅力排行榜》厦门在榜单中被列为二线城市的排名中，可以说近几年确实退步了。
	
前几年，厦门也有过跻身新一线城市的行列，但现如今，厦门作为改革开放最早的经济特区（除厦门外，还有深圳、珠海、汕头、海南）之一，厦门如今的发展势头确实略显平庸了。
	
厦门拥有一线城市的房价，其原因是厦门优质的城市规划与宜居环境，吸引了许多国内外的高净值群体；其二线城市的消费水平，与大多二线城市相差无几；而三线城市的工资，才暴露了厦门如今的发展瓶颈与窘境现状。
	
所以，在未来通过对产业的转型升级，以提升厦门工资水平才是重点与突破口！
	
那么，大家认为厦门是几线城市呢？
	
如果你也感同身受，欢迎举个手，并在评论区分享你的想法，让我们一起交流讨论一下吧～
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #城市[话题]# #城市更新[话题]#
#一线城市[话题]# #新一线城市[话题]# #二线城市[话题]#
#第一财经[话题]# #新一线城市研究所[话题]#","航海家Navigator 厦门 厦门商业 城市 城市更新 一线城市 新一线城市 二线城市 第一财经 新一线城市研究所",2024-11-30_16:40:28,2024-11-30_16:43:23,10+,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/674acf7c0000000008004619,https://ci.xiaohongshu.com/1040g00831aqo2acm6m005obucjg0jkuuark0038?imageView2/format/png,NaN
"2024-12-03 23:35:37",674935500000000007024d30,"图文","福建首家九十葉今日于厦门万象城正式开业！","全新一家九十葉抹茶专门店今日于厦门万象城正式开业，这也是福建首家的九十葉品牌门店！
	
那么，厦门的抹茶脑们，你们在哪，快来举个手吧！
	
最后，对于九十葉，如果体验过的话，欢迎你在评论区留言分享一下吧～
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#厦门商场[话题]# #厦门商圈[话题]# #厦门新商圈[话题]#
#华润[话题]# #万象城[话题]# #厦门万象城[话题]#
#抹茶[话题]# #抹茶冰淇淋[话题]# #Gelato[话题]# #gelato[话题]# #gelato冰淇淋[话题]#
#九十葉[话题]# #九十葉抹茶冰淇淋[话题]# #九十葉抹茶[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 厦门商场 厦门商圈 厦门新商圈 华润 万象城 厦门万象城 抹茶 抹茶冰淇淋 Gelato gelato gelato冰淇淋 九十葉 九十葉抹茶冰淇淋 九十葉抹茶",2024-11-29_11:30:24,2024-11-29_11:36:37,7,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/674935500000000007024d30,"https://ci.xiaohongshu.com/1040g00831ap6032fni0g5obucjg0jkuuu6p4gg0?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ap6032fni105obucjg0jkuu1pbkopg?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ap6032fni1g5obucjg0jkuuacus7o8?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ap6032fni205obucjg0jkuuebn77mo?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ap6032fni2g5obucjg0jkuusli20t8?imageView2/format/png","NaN NaN NaN NaN NaN"
"2024-12-03 23:35:37",67485b6300000000070347b4,"图文","航海家｜未来几年，集美商业只会越来越热闹！","近几年，集美可以说越来越繁华了，并且因产业、居民与年轻力的聚集，使得其正在试图打破岛内外的商业供需关系之余，重新定义了岛外。
	
今年，集美新开出一商场品牌，点燃了巨大的区域消费力，从开业至今，这把「火」依旧持续在燃烧。
	
但，这还不够，集美未来的商业只会越来越热闹！
	
这个月，厦门中交和美天地举办了一场答谢晚宴，现场近100家的合作品牌共同见证即将开业的和美天地的澎湃新势。
	
厦门中交和美天地即将于明年5月正式开出，其商场所在地的周围环绕着集美软件园三期，这也是集美如今蓬勃向上的密码与底层逻辑，那就是产业！
	
作为中交集团深耕厦门的全新代表作，厦门和美天地不容小觑，从招商业态来看，目前品牌的签约率已经超过了八成，其中首店占比35%，品牌最新形象店占比30%。
	
其中，品牌有，区域首家 SFC 上影国际影城、福建首家元初食品最新形象店、福建首家 X-PARTY 星聚会、集美首家安格斐健身普拉提私教概念店。
	
零售业态有 13DE MARZO 旗下的 ZERO SIEVERT 潮流买手店、杉杉旗下 BEAUTY33 美妆、美式校园风的 Discus Mart，以及美式复古潮流 NEWJNXS、还有青春少女鞋履品牌 MASOOMAKE，值得一提的是，以上皆为福建首店！
	
餐饮业态有，福建首家官塘牛肉、西朗牛排、岛外首家悦来福东山海鲜、阮氏娘、赵美丽重庆火锅、芭缇沁园、上菜呷饭、霸王茶姬，等等。
	
厦门中交和美天地的整体品牌业态，紧密地围绕着周边的时尚、商务、精英群体的消费力，为其营造了高品质、并具有社交、商务、娱乐属性的自在生活方式。
	
未来，中交和美商业综合体将由商业（和美天地）、写字楼（和美中心）以及酒店的多元业态构成，具象性的共同组成未来的全新地标！
	
那么，如果你也期待的话，请举个手吧！
	
最后，你还期待哪些品牌、业态进入中交和美天地，也请在评论区留言分享，让我们一起交流讨论一下吧～
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#厦门商场[话题]# #厦门新商场[话题]# #厦门商圈[话题]# #厦门新商圈[话题]#
#集美[话题]# #集美商业[话题]# #集美商场[话题]# #中交[话题]# #中交和美[话题]#
#中交和美天地[话题]# #和美天地[话题]# #厦门和美天地[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 厦门商场 厦门新商场 厦门商圈 厦门新商圈 集美 集美商业 集美商场 中交 中交和美 中交和美天地 和美天地 厦门和美天地",2024-11-28_20:00:35,2024-11-29_16:15:44,5,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/67485b6300000000070347b4,"https://ci.xiaohongshu.com/1040g00831aoanrph6o205obucjg0jkuuf58j9ag?imageView2/format/png https://ci.xiaohongshu.com/1040g00831aoanrph6o2g5obucjg0jkuuje7sad8?imageView2/format/png https://ci.xiaohongshu.com/1040g00831aoanrph6o305obucjg0jkuurc5r41o?imageView2/format/png","NaN NaN NaN"
"2024-12-03 23:35:38",67480ac2000000000702429b,"图文","和Loro Piana联名后，福建首家门店正式登鹭！","全新一家 New Balance GREY 门店落户厦门，入驻厦门万象城，该店为福建首家的新百伦 GREY 特别门店！
	
今年4月，New Balance 宣布与 LVMH 集团旗下的意大利奢侈品牌 Loro Piana 推出限定联名鞋款，采用了美产的 990V6 作为蓝本，该鞋型就是 New Balance 的高端系列。
	
而 GREY 门店为品牌在国内推出的高端系列门店，其「GREYA」来自品牌的「始祖灰」这一经典配色。
	
在 GREY 门店，能看到贯穿门店的全新设计，比如有着不同质感的灰色展架搭配木质元素，还有亚克力透明玻璃搭配灯光展示鞋款，通过对品牌文化与生活方式的呈现，使得 GREY TO MEET YOU！
	
值得一提的是，近几年 New Balance 还和美式街头复古品牌 Aimé Leon Dore 的创始人 Teddy Santi 推出 MADE 系列，将美式复古、学院风与街头文化诠释得淋漓尽致。
	
在新一轮时尚周期回归经典之际，New Balance 已经将美式复古内化为品牌基因，如今全新门店已经来袭，让我们一起期待一下吧！
	
最后，请喜欢美式复古的伙伴们举个手，也欢迎你在评论区分享你的 New Balance 穿搭，让我们一起互动一下～
	
#航海家Navigator[话题]#
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#厦门商场[话题]# #厦门商圈[话题]# #厦门新商圈[话题]#
#华润[话题]# #万象城[话题]# #厦门万象城[话题]#
#NB[话题]# #NEWBALANCE[话题]# #newbalance[话题]#
#newbalancegrey[话题]# #新百伦[话题]# #loropiana[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 厦门商场 厦门商圈 厦门新商圈 华润 万象城 厦门万象城 NB NEWBALANCE newbalance newbalancegrey 新百伦 loropiana",2024-11-28_14:16:34,2024-11-28_19:37:50,6,9,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/67480ac2000000000702429b,"https://ci.xiaohongshu.com/1040g00831ao1hdg16o005obucjg0jkuuhakrms0?imageView2/format/png https://ci.xiaohongshu.com/1040g00831aoanrph6o005obucjg0jkuu863guog?imageView2/format/png https://ci.xiaohongshu.com/1040g00831aoanrph6o0g5obucjg0jkuupu3kfv0?imageView2/format/png https://ci.xiaohongshu.com/1040g00831aoanrph6o105obucjg0jkuui5hclfo?imageView2/format/png https://ci.xiaohongshu.com/1040g00831aoanrph6o1g5obucjg0jkuu7pu8t90?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ao1hdg16o205obucjg0jkuuv4283m8?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ao1hdg16o105obucjg0jkuumfo72so?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ao1hdg16o1g5obucjg0jkuug9q739o?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ao1hdg16o2g5obucjg0jkuu5rr2auo?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ao1hdg16o305obucjg0jkuu674jsqo?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ao1hdg16o3g5obucjg0jkuu6vuq0m0?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ao1hdg16o405obucjg0jkuu5khs1p0?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN"
"2024-12-03 23:35:38",674954be00000000070259f7,"图文","厦门首家SALOMON围挡厦门万象城，年底开业！","全新一家 Salomon 正式入驻厦门万象城，如今已在 B1 楼层（原铺为 Calvin Klein Jeans）围挡装修中，即将于今年年底正式开业，这也将是厦门首家的 Salomon 品牌门店！
	
福建首家 Salomon 由育泰代理并在今年6月份亮相福州万象城，厦门万象城的这家 Salomon 是由安踏自己直营的门店！
	
那么，厦门首家 Salomon 即将来袭，如果你也期待的话，请举个手表示一下！
	
最后，大家还期待哪些户外运动品牌入驻厦门万象城，也欢迎在评论区留下吧～
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#厦门商场[话题]# #厦门商圈[话题]# #厦门新商圈[话题]#
#华润万象城[话题]#  #万象城[话题]# #厦门万象城[话题]#
#潮流[话题]# #跑鞋[话题]# #潮鞋[话题]# #穿搭[话题]# #户外[话题]#
#山系[话题]# #Salomon[话题]# #萨洛蒙[话题]#
#萨洛蒙xtquest[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 厦门商场 厦门商圈 厦门新商圈 华润万象城 万象城 厦门万象城 潮流 跑鞋 潮鞋 穿搭 户外 山系 Salomon 萨洛蒙 萨洛蒙xtquest",2024-11-29_13:44:30,2024-11-29_13:44:30,4,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/674954be00000000070259f7,"https://ci.xiaohongshu.com/1040g00831ap9qr007i005obucjg0jkuu5rrsbl8?imageView2/format/png https://ci.xiaohongshu.com/1040g00831ap9qr007i0g5obucjg0jkuub0ltm3o?imageView2/format/png","NaN NaN"
